"title","content","date","variant","images","verified","author","rating","product","url"
"Bonito diseño","Me a gustado mucho, tiene buena estabilidad, y muy buena luz, venia con pilas Leer más","Revisado en España el 26 de enero de 2020","","","","Susana","5,0 de 5 estrellas","","https://www.amazon.es/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0659446114I6FPGL96UB&url=%2FAuxmir-maquillaje-cosm%25C3%25A9tica-rotaci%25C3%25B3n-afeitado%2Fdp%2FB0787TPCW1%2Fref%3Dsr_1_51_sspa%3F__mk_es_ES%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Despejo%2Baumento%26qid%3D1607758339%26sr%3D8-51-spons%26psc%3D1%26smid%3DA1MK3Z7KVRV6LD&qualifier=1607760676&id=2668430127967837&widgetName=sp_atf_next
"
"perfecto","por ahora todo muy bien, muy contentos Leer más","Revisado en España el 20 de junio de 2020","","","","Valki","5,0 de 5 estrellas","","https://www.amazon.es/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0659446114I6FPGL96UB&url=%2FAuxmir-maquillaje-cosm%25C3%25A9tica-rotaci%25C3%25B3n-afeitado%2Fdp%2FB0787TPCW1%2Fref%3Dsr_1_51_sspa%3F__mk_es_ES%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Despejo%2Baumento%26qid%3D1607758339%26sr%3D8-51-spons%26psc%3D1%26smid%3DA1MK3Z7KVRV6LD&qualifier=1607760676&id=2668430127967837&widgetName=sp_atf_next
"
"Perfecto","La verdad es que cumple su cometido, necesitaba un espejo con aumento para maquillarme los ojos, ya que sin gafas no veo nada!! :) Leer más","Revisado en España el 10 de julio de 2020","","","","silvia","5,0 de 5 estrellas","","https://www.amazon.es/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0659446114I6FPGL96UB&url=%2FAuxmir-maquillaje-cosm%25C3%25A9tica-rotaci%25C3%25B3n-afeitado%2Fdp%2FB0787TPCW1%2Fref%3Dsr_1_51_sspa%3F__mk_es_ES%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Despejo%2Baumento%26qid%3D1607758339%26sr%3D8-51-spons%26psc%3D1%26smid%3DA1MK3Z7KVRV6LD&qualifier=1607760676&id=2668430127967837&widgetName=sp_atf_next
"
"Aumenta bastante y luce","Estupendo cumple con su función y aumento Leer más","Revisado en España el 22 de mayo de 2020","","","","José Francisco Lopera Zorrilla","5,0 de 5 estrellas","","https://www.amazon.es/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0659446114I6FPGL96UB&url=%2FAuxmir-maquillaje-cosm%25C3%25A9tica-rotaci%25C3%25B3n-afeitado%2Fdp%2FB0787TPCW1%2Fref%3Dsr_1_51_sspa%3F__mk_es_ES%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Despejo%2Baumento%26qid%3D1607758339%26sr%3D8-51-spons%26psc%3D1%26smid%3DA1MK3Z7KVRV6LD&qualifier=1607760676&id=2668430127967837&widgetName=sp_atf_next
"
"Eficaz","Mi bonita buena luz y gran aumento. Leer más","Revisado en España el 18 de septiembre de 2020","","","","Cliente Amazon","4,0 de 5 estrellas","","https://www.amazon.es/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0659446114I6FPGL96UB&url=%2FAuxmir-maquillaje-cosm%25C3%25A9tica-rotaci%25C3%25B3n-afeitado%2Fdp%2FB0787TPCW1%2Fref%3Dsr_1_51_sspa%3F__mk_es_ES%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Despejo%2Baumento%26qid%3D1607758339%26sr%3D8-51-spons%26psc%3D1%26smid%3DA1MK3Z7KVRV6LD&qualifier=1607760676&id=2668430127967837&widgetName=sp_atf_next
"
"Calidad y precio.","Está precioso pero lo esperaba un poquito más grande y con más cuerpo. Leer más","Revisado en España el 5 de agosto de 2020","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","","Kike Muñoz","5,0 de 5 estrellas","","https://www.amazon.es/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0659446114I6FPGL96UB&url=%2FAuxmir-maquillaje-cosm%25C3%25A9tica-rotaci%25C3%25B3n-afeitado%2Fdp%2FB0787TPCW1%2Fref%3Dsr_1_51_sspa%3F__mk_es_ES%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Despejo%2Baumento%26qid%3D1607758339%26sr%3D8-51-spons%26psc%3D1%26smid%3DA1MK3Z7KVRV6LD&qualifier=1607760676&id=2668430127967837&widgetName=sp_atf_next
"
"Los aumentos","Exactamente lo que quería y lo recibí al día siguiente Leer más","Revisado en España el 11 de octubre de 2020","","","","esther","5,0 de 5 estrellas","","https://www.amazon.es/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0659446114I6FPGL96UB&url=%2FAuxmir-maquillaje-cosm%25C3%25A9tica-rotaci%25C3%25B3n-afeitado%2Fdp%2FB0787TPCW1%2Fref%3Dsr_1_51_sspa%3F__mk_es_ES%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Despejo%2Baumento%26qid%3D1607758339%26sr%3D8-51-spons%26psc%3D1%26smid%3DA1MK3Z7KVRV6LD&qualifier=1607760676&id=2668430127967837&widgetName=sp_atf_next
"
"Bien pero muy bajo","Me ha gustado el aumento que tiene, la luz led, el tamaño del espejo y el diseño. Lo que no me ha gustado es que es demasiado bajo y para poder utilizarlo lo tengo que poner sobre una caja y así quede más alto. Leer más","Revisado en España el 7 de febrero de 2020","","","","Fra, R. A.","4,0 de 5 estrellas","","https://www.amazon.es/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0659446114I6FPGL96UB&url=%2FAuxmir-maquillaje-cosm%25C3%25A9tica-rotaci%25C3%25B3n-afeitado%2Fdp%2FB0787TPCW1%2Fref%3Dsr_1_51_sspa%3F__mk_es_ES%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Despejo%2Baumento%26qid%3D1607758339%26sr%3D8-51-spons%26psc%3D1%26smid%3DA1MK3Z7KVRV6LD&qualifier=1607760676&id=2668430127967837&widgetName=sp_atf_next
"
"","The Auxmir Double-sided LED Lighted Makeup Mirror is not as bright as an earler mirror that I had, but functional.  The ""Easy to use"" got 5 stars, I mean it is a mirror, you put your face in front of it and there it is. The ""Suction power"", got NO stars, as it does not have any, ???  The ""For travelling"" Got 4 stars because it eats batterys and I find I have to take spares or a charger with me. The magnification is great but harsh, it show all my wrinkles and hairs that grow out of my face, Leer más","Revisado en Reino Unido el 10 de noviembre de 2019","","","","schroder01","","","https://www.amazon.es/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0659446114I6FPGL96UB&url=%2FAuxmir-maquillaje-cosm%25C3%25A9tica-rotaci%25C3%25B3n-afeitado%2Fdp%2FB0787TPCW1%2Fref%3Dsr_1_51_sspa%3F__mk_es_ES%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Despejo%2Baumento%26qid%3D1607758339%26sr%3D8-51-spons%26psc%3D1%26smid%3DA1MK3Z7KVRV6LD&qualifier=1607760676&id=2668430127967837&widgetName=sp_atf_next
"
"","Bought this as a birthday present so cannot yet comment, but as I have one of these mirrors myself I cannot see that it will not be as good as the one I have. Leer más","Revisado en Reino Unido el 18 de junio de 2020","","","","Jeanne","","","https://www.amazon.es/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0659446114I6FPGL96UB&url=%2FAuxmir-maquillaje-cosm%25C3%25A9tica-rotaci%25C3%25B3n-afeitado%2Fdp%2FB0787TPCW1%2Fref%3Dsr_1_51_sspa%3F__mk_es_ES%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Despejo%2Baumento%26qid%3D1607758339%26sr%3D8-51-spons%26psc%3D1%26smid%3DA1MK3Z7KVRV6LD&qualifier=1607760676&id=2668430127967837&widgetName=sp_atf_next
"
"","This mirror was a great purchase, I've never had 1 like this and wish I had bought one sooner, having the lights on both sides is a good added extra, one mirror side is normal the other is magnified helping you to see much better, great for plucking eyebrows etc, highly recommend this mirror . Leer más","Revisado en Reino Unido el 22 de enero de 2019","","","","kerrie","","","https://www.amazon.es/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0659446114I6FPGL96UB&url=%2FAuxmir-maquillaje-cosm%25C3%25A9tica-rotaci%25C3%25B3n-afeitado%2Fdp%2FB0787TPCW1%2Fref%3Dsr_1_51_sspa%3F__mk_es_ES%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Despejo%2Baumento%26qid%3D1607758339%26sr%3D8-51-spons%26psc%3D1%26smid%3DA1MK3Z7KVRV6LD&qualifier=1607760676&id=2668430127967837&widgetName=sp_atf_next
"
"","To be able to see through this mirror you have to hold it very close to your fAce.i have had other,mirrors 10 times magnification and I have not had the same problems with them.i was very disappointed Leer más","Revisado en Reino Unido el 15 de noviembre de 2020","","","","westie 175","","","https://www.amazon.es/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0659446114I6FPGL96UB&url=%2FAuxmir-maquillaje-cosm%25C3%25A9tica-rotaci%25C3%25B3n-afeitado%2Fdp%2FB0787TPCW1%2Fref%3Dsr_1_51_sspa%3F__mk_es_ES%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Despejo%2Baumento%26qid%3D1607758339%26sr%3D8-51-spons%26psc%3D1%26smid%3DA1MK3Z7KVRV6LD&qualifier=1607760676&id=2668430127967837&widgetName=sp_atf_next
"
"","This is a really lovely little mirror. The light is nice and bright and the mirror itself is the perfect size for me. Leer más","Revisado en Reino Unido el 20 de octubre de 2020","","","","A. Barnes","","","https://www.amazon.es/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0659446114I6FPGL96UB&url=%2FAuxmir-maquillaje-cosm%25C3%25A9tica-rotaci%25C3%25B3n-afeitado%2Fdp%2FB0787TPCW1%2Fref%3Dsr_1_51_sspa%3F__mk_es_ES%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Despejo%2Baumento%26qid%3D1607758339%26sr%3D8-51-spons%26psc%3D1%26smid%3DA1MK3Z7KVRV6LD&qualifier=1607760676&id=2668430127967837&widgetName=sp_atf_next
"
"Me encanta. Es util , atractivo y fácil de encender apagar.","Es muy util y facil de usar. Todo lo que pone en la descripcion es cierto. Es un artículo de calidad muy bien pensado y atractivo. Los aumentos x 10 son muy útiles para hacer las cejas para los que hemos perdido un poco de visión con la edad. Leer más","Revisado en España el 15 de septiembre de 2020","","","","Krista Ward Ireland","5,0 de 5 estrellas","","https://www.amazon.es/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0759137JP3J8AULDRUG&url=%2FAuxmir-Maquillaje-Cosm%25C3%25A9tico-Ajustables-Extensible%2Fdp%2FB088CW42LW%2Fref%3Dsr_1_52_sspa%3F__mk_es_ES%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Despejo%2Baumento%26qid%3D1607758339%26sr%3D8-52-spons%26psc%3D1%26smid%3DA1MK3Z7KVRV6LD&qualifier=1607760676&id=2668430127967837&widgetName=sp_atf_next
"
"BUENA PRESENCIA PESIMO PERO ACABADO DE FABRICACION","EL PRIMER DIA TRAS INSTALALARLO , ENCUANTO LO USO MI MUJER SE QUEDO CON EL ESPEJO POSTERIOR EN LA MANO, SIN HABER HECHO NADA MAS QUE DARLE LA VUELTA CON EL SISTEMA DE GIRO 360 º. DE TAL FORMA QUE SE LE RESBALO Y SE ROMPIO. NOS COMUNICAMOS CON EL PROVEEDOR Y NOS HA HECHO LLEGAR UNO TOTALMENTE NUEVO EN MUY POCO TIEMPO Leer más","Revisado en España el 24 de octubre de 2020","","","","GOLDHORSE TRADE,S.L","1,0 de 5 estrellas","","https://www.amazon.es/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0759137JP3J8AULDRUG&url=%2FAuxmir-Maquillaje-Cosm%25C3%25A9tico-Ajustables-Extensible%2Fdp%2FB088CW42LW%2Fref%3Dsr_1_52_sspa%3F__mk_es_ES%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Despejo%2Baumento%26qid%3D1607758339%26sr%3D8-52-spons%26psc%3D1%26smid%3DA1MK3Z7KVRV6LD&qualifier=1607760676&id=2668430127967837&widgetName=sp_atf_next
"
"Tamaño, aspecto y aumentos  perfectos","El producto se ajusta a la descripcion. La unica pega que podri ponerle es que la instensidad de la luz es un poco baja incluso al maximo, pero por lo demas, muy satisfecha con el producto Leer más","Revisado en España el 23 de septiembre de 2020","","","","paula canal","4,0 de 5 estrellas","","https://www.amazon.es/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0759137JP3J8AULDRUG&url=%2FAuxmir-Maquillaje-Cosm%25C3%25A9tico-Ajustables-Extensible%2Fdp%2FB088CW42LW%2Fref%3Dsr_1_52_sspa%3F__mk_es_ES%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Despejo%2Baumento%26qid%3D1607758339%26sr%3D8-52-spons%26psc%3D1%26smid%3DA1MK3Z7KVRV6LD&qualifier=1607760676&id=2668430127967837&widgetName=sp_atf_next
"
"Es perfecto","Calidad - precio Genial. Me ha sorprendido. Muy buena calidad, incluida de La Luz. Leer más","Revisado en España el 26 de noviembre de 2020","","","","Cristina","5,0 de 5 estrellas","","https://www.amazon.es/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0759137JP3J8AULDRUG&url=%2FAuxmir-Maquillaje-Cosm%25C3%25A9tico-Ajustables-Extensible%2Fdp%2FB088CW42LW%2Fref%3Dsr_1_52_sspa%3F__mk_es_ES%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Despejo%2Baumento%26qid%3D1607758339%26sr%3D8-52-spons%26psc%3D1%26smid%3DA1MK3Z7KVRV6LD&qualifier=1607760676&id=2668430127967837&widgetName=sp_atf_next
"
"Justo lo que esperaba","Incluye pilas y tornillos para el montaje. El aumento x10 es demasiado para cualquiera que no tenga mucha presbicia pero no es mi caso. Las 3 tonalidades de luz, un acierto. Es justo que esperaba. Leer más","Revisado en España el 29 de octubre de 2020","","","","noe","5,0 de 5 estrellas","","https://www.amazon.es/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0759137JP3J8AULDRUG&url=%2FAuxmir-Maquillaje-Cosm%25C3%25A9tico-Ajustables-Extensible%2Fdp%2FB088CW42LW%2Fref%3Dsr_1_52_sspa%3F__mk_es_ES%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Despejo%2Baumento%26qid%3D1607758339%26sr%3D8-52-spons%26psc%3D1%26smid%3DA1MK3Z7KVRV6LD&qualifier=1607760676&id=2668430127967837&widgetName=sp_atf_next
"
"Práctico y buena calidad","Buena calidad. Me va muy bien el aumento para mi vista cuando me maquillo y poder acercarme el espejo. Leer más","Revisado en España el 4 de diciembre de 2020","","","","Lucía","5,0 de 5 estrellas","","https://www.amazon.es/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0759137JP3J8AULDRUG&url=%2FAuxmir-Maquillaje-Cosm%25C3%25A9tico-Ajustables-Extensible%2Fdp%2FB088CW42LW%2Fref%3Dsr_1_52_sspa%3F__mk_es_ES%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Despejo%2Baumento%26qid%3D1607758339%26sr%3D8-52-spons%26psc%3D1%26smid%3DA1MK3Z7KVRV6LD&qualifier=1607760676&id=2668430127967837&widgetName=sp_atf_next
"
"Me encanta tamaño y aumentos aunque luce poco","Es genial aunque para ser perfecto la luz debería ser más potente y poder apagarse a tu antojo y no automática. Tarda en apagarse y gasta más pila. Leer más","Revisado en España el 24 de septiembre de 2020","","","","Olga Ramos","4,0 de 5 estrellas","","https://www.amazon.es/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0759137JP3J8AULDRUG&url=%2FAuxmir-Maquillaje-Cosm%25C3%25A9tico-Ajustables-Extensible%2Fdp%2FB088CW42LW%2Fref%3Dsr_1_52_sspa%3F__mk_es_ES%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Despejo%2Baumento%26qid%3D1607758339%26sr%3D8-52-spons%26psc%3D1%26smid%3DA1MK3Z7KVRV6LD&qualifier=1607760676&id=2668430127967837&widgetName=sp_atf_next
"
"Bon mirall d’augment!","Molt bon augment de L’imatge i bona il·luminació . Leer más","Revisado en España el 4 de noviembre de 2020","","","","Cliente Amazon","5,0 de 5 estrellas","","https://www.amazon.es/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0759137JP3J8AULDRUG&url=%2FAuxmir-Maquillaje-Cosm%25C3%25A9tico-Ajustables-Extensible%2Fdp%2FB088CW42LW%2Fref%3Dsr_1_52_sspa%3F__mk_es_ES%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Despejo%2Baumento%26qid%3D1607758339%26sr%3D8-52-spons%26psc%3D1%26smid%3DA1MK3Z7KVRV6LD&qualifier=1607760676&id=2668430127967837&widgetName=sp_atf_next
"
